Track Name,Artist Name,Album Name,Duration
Unholy,Sam Smith,Gloria,2:37
Unholy (Instrumental),Sam Smith,Unholy,2:50
Unholy,Sam Smith,Unholy,2:37
Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2:03
Heaven,Niall Horan,Heaven,3:06
If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,2:22
Something in the Orange,Zach Bryan,Something in the Orange,3:48
Revenge,XXXTENTACION,Revenge,2:00
Revenge,XXXTENTACION,17,2:00
Ghost,Justin Bieber,Justice,2:33
Let Me Down Slowly,Alec Benjamin,Let Me Down Slowly,2:49
Hope,XXXTENTACION,?,1:52
In Ha Mood,Ice Spice,In Ha Mood,2:09
Freestyle,Lil Baby,Too Hard,2:42
Zombie,The Cranberries,Rock Your Party,5:07
Jocelyn Flores,XXXTENTACION,17,1:59
Everybody Dies In Their Nightmares,XXXTENTACION,17,1:35
Moonlight,XXXTENTACION,?,2:15
The Motto,Tiësto,DRIVE,2:44
In Ha Mood,Ice Spice,Like..?,2:09
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,3:27
In Ha Mood,Ice Spice,Like..?,2:09
Sorry,Justin Bieber,Purpose,3:21
Sorry (Instrumental),Justin Bieber,Purpose,3:20
Sorry,Justin Bieber,Purpose (Deluxe),3:21
Sorry,Justin Bieber,Purpose,3:21
Sorry,Justin Bieber,Purpose (Deluxe),3:21
Light Switch,Charlie Puth,Light Switch,3:05
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",2:58
Heat Waves,Glass Animals,Heat Waves,3:59
Don't Be Shy,Tiësto,Don't Be Shy,2:20
Fast Car,Tracy Chapman,Tracy Chapman,4:56
Chamber Of Reflection,Mac DeMarco,Salad Days,3:52
Temperature,Sean Paul,The Trinity,3:38
The Business,Tiësto,DRIVE,2:44
Pacify Her,Melanie Martinez,Cry Baby,3:40
 Only Love can Hurt like this,Paloma Faith,A Perfect Contradiction,3:52
Don't Be Shy,Tiësto,DRIVE,2:20
Wind Of Change,Scorpions,Best,5:12
VOID,Melanie Martinez,PORTALS,4:07
DEATH,Melanie Martinez,PORTALS,5:06
changes,XXXTENTACION,?,2:02
The Grinch,Trippie Redd,A Love Letter To You 4,1:31
What Do You Mean?,Justin Bieber,Purpose (Deluxe),3:25
Change (In the House of Flies),Deftones,Little Nicky (Music From The Motion Picture),4:59
SAD!,XXXTENTACION,?,2:46
DEATH,Melanie Martinez,DEATH,5:06
B.O.T.A. (Baddest Of Them All) [Edit],Eliza Rose,B.O.T.A. (Baddest Of Them All),3:46
Dawns (feat. Maggie Rogers),Zach Bryan,Dawns (feat. Maggie Rogers),4:50
For the First Time,Mac DeMarco,This Old Dog,3:02
DEATH,Melanie Martinez,PORTALS,5:06
changes,XXXTENTACION,?,2:02
The Grinch,Trippie Redd,A Love Letter To You 4,1:31
What Do You Mean?,Justin Bieber,Purpose (Deluxe),3:25
Change (In the House of Flies),Deftones,Little Nicky (Music From The Motion Picture),4:59
SAD!,XXXTENTACION,?,2:46
No Es Por Acá,Carin Leon,No Es Por Acá,2:47
love nwantiti (ah ah ah),CKay,CKay The First,2:25
What Do You Mean? (Instrumental),Justin Bieber,Purpose,3:27
2 Be Loved (Am I Ready),Lizzo,Special,3:07
House of Memories,Panic! At The Disco,Death of a Bachelor,3:28
Murder On My Mind,YNW Melly,I AM YOU,4:28
the remedy for a broken heart (why am I so in love),XXXTENTACION,?,2:40
Breaking Me,Topic,Breaking Me,2:46
Mount Everest,Labrinth,Imagination & the Misfit Kid,2:37
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,4:18
The Kids Aren't Alright,The Offspring,Americana,3:00
"It Must Have Been Love (From the Film ""Pretty Woman"")",Roxette,It Must Have Been Love,4:18
No Lie,Sean Paul,No Lie,3:41
Look At Me!,XXXTENTACION,Look At Me!,2:06
GHOST TOWN,Benson Boone,Walk Me Home...,3:13
Attention,Charlie Puth,Attention,3:31
Here Without You,3 Doors Down,Rock Your Party,3:57
Beauty And A Beat,Justin Bieber,Believe,3:48
TUNNEL VISION,Melanie Martinez,PORTALS,4:44
Here Without You,3 Doors Down,Rock Your Party,3:57
Beauty And A Beat,Justin Bieber,Believe,3:48
The Lady In Red,Chris De Burgh,Spark To A Flame,4:14
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,3:29
Friday,Riton,Friday,2:49
I Wrote A Song,Mae Muller,I Wrote A Song,2:47
Lemonade,Internet Money,Lemonade,3:16
